id,song_name,artist,genre,album,year,popularity,cover_image,spotify_url,mood,language,region,region_group,youtube_url,source,lyrics,history,song_key,artist_key,feature_text
445,"Tose Naina (From ""Mickey Virus)",Arijit Singh,bollywood,Love Dose Arijit Singh,2016.0,59.0,https://i.scdn.co/image/ab67616d0000b2732d2263486e48ab1b41ae2466,https://open.spotify.com/track/2fMlezwwP5Hr1UwuAknN4o,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tose naina from mickey virus,arijit singh,"song Tose Naina (From ""Mickey Virus) artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
446,Mauja Hi Mauja,"Pritam, Mika Singh, Irshad Kamil",bollywood,Jab We Met,2007.0,60.0,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,https://open.spotify.com/track/2iXVckhPy7tP0wV9DvlrjZ,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,mauja hi mauja,pritam mika singh irshad kamil,"song Mauja Hi Mauja artist Pritam, Mika Singh, Irshad Kamil genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
447,Tera Zikr,Darshan Raval,bollywood,Hits Of Darshan Raval (Blue Family),2023.0,59.0,https://i.scdn.co/image/ab67616d0000b273fcf423d32f3e1933ecfdebea,https://open.spotify.com/track/1TVGIzxrXAmuhZnOn2vIC1,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,tera zikr,darshan raval,song Tera Zikr artist Darshan Raval genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history 
448,Hum Mar Jayenge,"Tulsi Kumar, Arijit Singh",bollywood,Aashiqui 2,2013.0,59.0,https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3,https://open.spotify.com/track/55eUtE9v3uatR0y0NijM6N,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,hum mar jayenge,tulsi kumar arijit singh,"song Hum Mar Jayenge artist Tulsi Kumar, Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
449,"Agar Tum Mil Jao - From ""Zeher""","Shreya Ghoshal, Roop Kumar Rathod, Anu Malik",bollywood,Best Old Songs,2024.0,59.0,https://i.scdn.co/image/ab67616d0000b273133ed89e20fc96e20378df9c,https://open.spotify.com/track/1OQSRDwlz2A7eBoHInb1Rc,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,agar tum mil jao from zeher,shreya ghoshal roop kumar rathod anu malik,"song Agar Tum Mil Jao - From ""Zeher"" artist Shreya Ghoshal, Roop Kumar Rathod, Anu Malik genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
450,Kiya Kiya,"Anand Raj Anand, Shweta Pandit",bollywood,Welcome (Original Motion Picture Soundtrack),2007.0,58.0,https://i.scdn.co/image/ab67616d0000b273e20ac598275924cb5ffc1be6,https://open.spotify.com/track/0YCPCY9WhQFMFtoSpj6dhL,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,kiya kiya,anand raj anand shweta pandit,"song Kiya Kiya artist Anand Raj Anand, Shweta Pandit genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
451,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)","Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",bollywood,Yo Yo Honey Singh Is Back,2018.0,59.0,https://i.scdn.co/image/ab67616d0000b2734ba2466aa6c47a2a87afd079,https://open.spotify.com/track/0MAL4lkJiJgCwGdO0Q264f,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,high heels te nachche from ki amp ka feat jaz dhami aditi singh sharma,meet bros yo yo honey singh jaz dhami aditi singh sharma,"song High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma) artist Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
452,Kajra Re,"Shankar-Ehsaan-Loy, Alisha Chinai, Shankar Mahadevan, Javed Ali, Gulzar",bollywood,Bunty Aur Babli,2005.0,60.0,https://i.scdn.co/image/ab67616d0000b273fb15b0d84124e875b0b0494c,https://open.spotify.com/track/72HdutlIHBZJ7WT1xVAAZT,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,kajra re,shankarehsaanloy alisha chinai shankar mahadevan javed ali gulzar,"song Kajra Re artist Shankar-Ehsaan-Loy, Alisha Chinai, Shankar Mahadevan, Javed Ali, Gulzar genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
453,Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",bollywood,My Name Is Khan (Original Motion Picture Soundtrack [Deluxe Edition]),2010.0,59.0,https://i.scdn.co/image/ab67616d0000b2737881b6fe1d303657f9d409eb,https://open.spotify.com/track/0Qa9pTZLUC95wJCHGYMIg4,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,sajdaa,shankarehsaanloy rahat fateh ali khan shankar mahadevan richa sharma,"song Sajdaa artist Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
454,"Shayad (From ""Love Aaj Kal"")","Pritam, Arijit Singh",bollywood,"Shayad (From ""Love Aaj Kal"")",2020.0,59.0,https://i.scdn.co/image/ab67616d0000b2735ce250ed772675c347a34f64,https://open.spotify.com/track/018eOid2aGaPdxon7T6GsC,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,shayad from love aaj kal,pritam arijit singh,"song Shayad (From ""Love Aaj Kal"") artist Pritam, Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
455,Sajde,"Shankar-Ehsaan-Loy, Arijit Singh, Nihira Joshi Deshpande, Gulzar",bollywood,Kill Dil,2014.0,59.0,https://i.scdn.co/image/ab67616d0000b273118be9c812b6bc1d979827ae,https://open.spotify.com/track/7kiZ6Zf66oX6yMovt3gC1a,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,sajde,shankarehsaanloy arijit singh nihira joshi deshpande gulzar,"song Sajde artist Shankar-Ehsaan-Loy, Arijit Singh, Nihira Joshi Deshpande, Gulzar genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
456,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Amitabh Bhattacharya, Madan Mohan",bollywood,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023.0,58.0,https://i.scdn.co/image/ab67616d0000b273379362b7ff9eb44fed165888,https://open.spotify.com/track/4uNxdQ1L4Xa52MWX864QhW,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,what jhumka from rocky aur rani kii prem kahaani,pritam arijit singh jonita gandhi ranveer singh amitabh bhattacharya madan mohan,"song What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"") artist Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Amitabh Bhattacharya, Madan Mohan genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
457,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh, B Praak, Jaani",bollywood,"Pachtaoge (From ""Jaani Ve"")",2019.0,59.0,https://i.scdn.co/image/ab67616d0000b2735f3fcba817dfe0ec755c1627,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,pachtaoge from jaani ve,arijit singh b praak jaani,"song Pachtaoge (From ""Jaani Ve"") artist Arijit Singh, B Praak, Jaani genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
